hora,temperatura,humedad,alerta
6,3.18,77,0
19,8.45,52,0
14,3.63,65,0
10,0.1,81,1
7,7.05,59,0
20,3.09,77,0
6,13.95,40,1
18,6.9,65,0
22,9.31,47,1
10,11.06,48,1
10,8.95,48,0
23,0.71,78,1
20,0.08,79,1
3,5.14,64,0
7,12.7,41,1
23,9.32,56,1
2,1.39,68,1
21,1.6,71,1
20,7.26,58,0
1,0.69,72,1
23,4.58,66,0
11,1.77,74,1
5,14.31,30,1
1,12.6,35,1
20,12.73,30,1
0,11.52,39,1
11,8.78,54,0
21,13.21,41,1
11,8.65,55,0
16,3.28,66,0
9,4.83,65,0
15,12.93,43,1
14,7.64,51,0
14,0.53,79,1
18,10.98,50,1
11,3.05,68,0
22,12.97,46,1
19,1.2,74,1
2,7.94,52,0
4,9.03,56,1
18,2.9,81,1
6,8.65,54,0
20,6.37,64,0
8,1.72,72,1
6,4.06,62,0
17,9.45,52,1
3,4.33,69,0
13,12.0,42,1
17,9.08,56,1
8,8.49,51,0
20,1.24,72,1
1,14.02,43,1
19,4.3,72,0
14,7.04,56,0
6,2.21,82,1
11,2.39,71,1
7,6.19,62,0
14,4.6,66,0
2,12.07,46,1
13,8.06,57,0
16,13.9,40,1
3,4.69,61,0
17,9.03,44,1
7,1.15,82,1
3,14.42,34,1
1,0.87,77,1
5,9.58,53,1
21,5.43,72,0
9,4.72,67,0
3,12.01,42,1
21,9.25,50,1
17,3.89,68,0
11,6.49,56,0
1,9.39,52,1
9,13.41,40,1
3,3.43,78,0
13,4.75,65,0
15,3.33,60,0
14,13.55,53,1
7,4.79,70,0
13,4.64,76,0
22,5.26,58,0
7,10.91,46,1
20,7.51,61,0
15,12.58,45,1
12,0.49,80,1
17,4.75,55,0
14,3.99,59,0
20,4.85,73,0
23,1.79,83,1
12,5.45,63,0
8,13.78,46,1
14,2.84,66,1
12,11.52,41,1
0,7.27,53,0
6,6.44,56,0
8,3.84,72,0
23,6.85,55,0
0,4.48,78,0
11,3.46,72,0
7,11.42,51,1
23,7.09,61,0
10,8.72,60,0
18,3.34,66,0
16,2.8,79,1
7,0.45,79,1
2,3.24,76,0
2,0.42,72,1
0,6.75,61,0
4,1.32,77,1
9,3.24,67,0
6,1.2,78,1
8,10.52,56,1
6,6.47,57,0
8,0.08,85,1
7,8.49,49,0
11,3.59,80,0
1,7.09,63,0
0,8.33,64,0
15,9.18,56,1
22,11.17,48,1
22,0.33,83,1
23,1.96,73,1
4,8.21,47,0
2,4.41,69,0
11,8.88,50,0
7,9.93,45,1
21,9.87,54,1
2,9.38,50,1
0,1.98,79,1
2,8.36,51,0
4,8.54,52,0
14,7.59,63,0
13,6.35,62,0
2,12.12,36,1
0,4.2,69,0
4,13.05,48,1
22,0.49,76,1
13,10.84,50,1
6,1.01,73,1
8,1.01,76,1
14,1.63,81,1
14,12.51,44,1
9,6.26,68,0
12,4.05,70,0
18,10.3,60,1
6,4.18,60,0
16,1.04,76,1
19,7.9,51,0
3,9.74,46,1
4,3.44,65,0
22,6.34,62,0
6,14.96,36,1
12,4.97,67,0
14,3.15,65,0
10,5.1,63,0
3,1.5,71,1
12,14.11,42,1
6,3.52,65,0
18,7.76,56,0
21,5.81,65,0
1,5.78,60,0
9,9.32,56,1
12,9.79,59,1
20,2.77,73,1
5,6.97,64,0
11,8.34,45,0
11,2.82,69,1
19,3.07,72,0
10,9.06,48,1
22,0.42,80,1
6,1.74,80,1
0,0.26,70,1
0,1.44,70,1
19,0.2,80,1
12,4.14,70,0
8,5.67,67,0
2,3.5,70,0
6,9.69,53,1
5,4.46,71,0
7,3.48,67,0
8,3.64,66,0
4,4.61,65,0
0,3.36,71,0
18,4.39,64,0
9,5.39,62,0
11,4.46,69,0
23,9.29,53,1
14,14.13,37,1
21,12.32,34,1
23,9.99,50,1
8,1.93,69,1
19,0.2,84,1
16,7.43,56,0
16,13.03,36,1
19,0.7,78,1
11,14.68,42,1
6,3.95,71,0
1,1.75,76,1
2,2.7,65,1
16,6.7,68,0
4,5.8,59,0
16,11.37,51,1
23,0.76,76,1
16,6.85,64,0
16,0.55,85,1
1,10.0,53,1
1,7.31,62,0
21,4.08,67,0
22,7.39,56,0
4,2.59,73,1
0,14.78,34,1
0,1.32,88,1
18,3.54,64,0
1,7.91,61,0
20,14.03,40,1
11,8.74,55,0
5,9.74,58,1
22,9.43,53,1
3,14.06,35,1
22,8.98,55,0
10,5.9,61,0
23,8.5,57,0
16,8.62,58,0
5,0.3,75,1
23,9.26,58,1
4,13.46,38,1
19,0.9,80,1
1,0.75,81,1
5,8.3,57,0
21,9.24,52,1
10,5.87,60,0
15,1.6,74,1
15,0.19,87,1
0,3.99,64,0
8,7.04,55,0
5,9.74,47,1
15,3.95,69,0
2,5.24,57,0
19,2.38,66,1
3,11.18,45,1
18,5.07,58,0
2,6.7,54,0
18,2.41,66,1
19,4.74,62,0
6,11.74,48,1
19,8.19,60,0
8,3.59,79,0
0,9.41,61,1
7,12.75,46,1
6,7.34,63,0
17,3.46,70,0
7,4.3,70,0
0,5.39,74,0
10,6.78,62,0
17,5.0,71,0
22,9.62,46,1
9,9.74,47,1
2,3.27,72,0
6,5.64,64,0
15,13.62,36,1
15,6.23,73,0
19,7.08,60,0
16,8.15,53,0
1,14.81,36,1
0,2.61,72,1
15,7.78,58,0
11,4.38,59,0
4,2.29,80,1
4,5.26,71,0
22,3.17,78,0
8,11.76,46,1
8,4.98,68,0
2,1.82,70,1
18,10.64,52,1
15,4.89,67,0
15,3.52,67,0
2,6.96,63,0
19,11.0,52,1
23,7.6,57,0
21,14.2,40,1
23,2.17,68,1
0,13.31,46,1
23,0.04,75,1
19,0.6,75,1
10,7.61,57,0
16,1.83,80,1
7,3.72,74,0
3,8.67,54,0
5,1.13,80,1
7,0.54,70,1
19,4.25,64,0
2,3.41,66,0
15,10.22,56,1
2,4.53,70,0
17,1.35,77,1
13,5.52,65,0
17,3.42,78,0
1,3.02,70,0
21,9.9,44,1
2,8.91,59,0
15,9.32,53,1
8,9.27,57,1
3,4.75,66,0
0,9.23,48,1
3,4.32,69,0
0,7.64,57,0
13,5.32,65,0
20,9.63,59,1
15,1.74,69,1
19,0.46,80,1
23,2.4,69,1
7,8.78,41,0
6,9.61,51,1
2,0.34,79,1
16,9.71,54,1
0,5.69,62,0
15,4.34,60,0
11,11.36,42,1
18,6.62,67,0
21,3.68,65,0
22,5.02,73,0
21,3.71,74,0
13,4.79,64,0
5,13.0,37,1
5,3.58,75,0
12,0.42,78,1
18,9.94,42,1
21,5.56,66,0
7,11.67,47,1
1,2.88,77,1
20,7.45,59,0
0,9.47,49,1
14,9.35,58,1
0,10.4,56,1
4,7.87,58,0
15,1.08,77,1
18,2.39,66,1
3,1.23,73,1
2,5.39,68,0
16,8.81,51,0
16,3.54,62,0
11,9.68,68,1
13,14.21,30,1
20,13.82,50,1
5,4.19,66,0
2,7.89,56,0
8,9.64,48,1
4,9.89,54,1
23,3.76,62,0
16,8.67,45,0
13,9.43,60,1
20,9.42,48,1
2,1.04,81,1
0,3.33,65,0
19,0.06,83,1
20,5.24,73,0
22,1.04,74,1
0,7.23,49,0
2,8.33,63,0
17,6.5,65,0
9,8.47,52,0
21,7.85,55,0
2,0.37,73,1
7,4.83,73,0
13,9.74,48,1
23,9.33,45,1
17,3.55,70,0
14,11.99,40,1
21,9.34,47,1
22,2.62,70,1
1,11.9,45,1
9,8.79,47,0
1,3.49,76,0
16,2.25,77,1
7,6.3,59,0
0,9.74,46,1
8,13.98,38,1
10,14.97,40,1
21,8.08,59,0
15,2.04,79,1
6,3.71,66,0
9,5.03,50,0
22,9.98,56,1
2,5.31,63,0
17,6.52,64,0
23,4.13,76,0
12,12.89,53,1
6,14.34,34,1
3,5.19,65,0
12,13.68,46,1
19,2.12,69,1
0,2.84,69,1
7,13.45,37,1
13,9.36,52,1
15,13.35,39,1
13,8.36,52,0
11,12.25,38,1
18,1.57,79,1
22,4.53,73,0
14,2.78,79,1
1,14.11,35,1
1,3.35,74,0
22,3.96,69,0
21,7.55,54,0
18,13.82,42,1
21,10.76,45,1
21,14.47,35,1
16,7.95,49,0
19,3.98,66,0
9,5.66,64,0
5,4.17,75,0
14,9.82,49,1
21,8.24,50,0
10,8.75,61,0
4,7.11,56,0
0,8.41,46,0
7,9.63,52,1
20,1.71,73,1
11,2.16,85,1
11,14.96,37,1
4,4.6,65,0
6,7.39,53,0
3,10.04,52,1
5,7.39,65,0
12,4.21,69,0
19,3.17,66,0
14,3.37,73,0
2,2.17,73,1
22,5.66,65,0
7,7.67,55,0
19,8.01,54,0
15,3.08,69,0
12,0.76,82,1
17,4.47,65,0
9,8.07,53,0
18,6.9,55,0
16,3.77,71,0
23,9.11,54,1
18,2.63,70,1
22,10.91,44,1
4,9.66,60,1
20,4.57,57,0
22,6.8,62,0
8,4.11,74,0
11,7.65,40,0
20,7.12,63,0
0,14.39,36,1
0,4.54,68,0
14,2.19,72,1
1,11.56,51,1
21,2.82,73,1
15,1.36,77,1
7,9.95,46,1
12,7.98,65,0
20,7.28,58,0
0,14.0,49,1
15,0.34,89,1
6,10.48,40,1
4,10.51,45,1
21,9.33,47,1
22,12.6,42,1
2,3.57,70,0
11,2.74,73,1
15,3.68,74,0
18,4.48,74,0
4,14.32,42,1
21,0.94,74,1
13,3.77,65,0
4,9.0,53,0
14,10.48,51,1
