hora,temperatura,humedad,alerta
0,3.2,78,0
1,3.5,77,0
2,3.8,76,0
3,4.0,75,0
4,4.1,74,0
5,4.3,74,0
6,4.5,73,0
7,4.8,72,0
8,5.0,71,0
9,5.2,70,0
10,5.4,70,0
11,5.5,69,0
12,5.7,68,0
13,5.8,68,0
14,6.0,67,0
15,6.1,66,0
16,6.3,66,0
17,6.5,65,0
18,6.6,65,0
19,6.8,64,0
20,7.0,63,0
21,7.1,63,0
22,7.2,62,0
23,7.3,62,0
24,7.4,61,0
25,7.5,61,0
26,7.6,60,0
27,7.7,60,0
28,7.8,59,0
29,7.9,59,0
30,8.0,58,0
31,8.1,58,1
32,8.2,57,1
33,8.3,57,1
34,8.4,56,1
35,8.5,56,1
36,8.6,55,1
37,8.7,55,1
38,8.8,54,1
39,8.9,54,1
40,9.0,53,1
41,9.1,53,1
42,9.2,52,1
43,9.3,52,1
44,9.4,51,1
45,9.5,51,1
46,9.6,50,1
47,9.7,50,1
48,9.8,49,1
49,9.9,49,1
50,10.0,48,1
51,3.1,79,0
52,3.4,78,0
53,3.7,77,0
54,4.2,75,0
55,4.4,74,0
56,4.7,73,0
57,5.1,71,0
58,5.3,70,0
59,5.6,69,0
60,5.9,67,0
61,6.2,66,0
62,6.4,65,0
63,6.7,64,0
64,6.9,63,0
65,7.2,62,0
66,7.4,61,0
67,7.6,60,0
68,7.8,59,0
69,7.9,58,0
70,8.1,57,1
71,8.2,56,1
72,8.4,55,1
73,8.6,54,1
74,8.8,53,1
75,9.0,52,1
76,9.2,51,1
77,9.4,50,1
78,9.6,49,1
79,9.8,48,1
80,10.1,47,1
81,3.3,80,0
82,3.9,78,0
83,4.6,76,0
84,5.2,73,0
85,5.8,71,0
86,6.3,69,0
87,6.8,67,0
88,7.1,65,0
89,7.5,63,0
90,7.8,61,0
91,8.2,59,1
92,8.5,57,1
93,8.9,55,1
94,9.3,53,1
95,9.7,51,1
96,10.0,49,1
97,10.3,47,1
98,10.5,46,1
99,10.8,45,1
